((0, 10), 0.0040000000000000036)
((0, 1), 0.008000000000000007)
((0, 8), 0.008000000000000007)
((0, 16), 0.008000000000000007)
((0, 19), 0.008000000000000007)
((0, 31), 0.008000000000000007)
((1, 47), 0.008000000000000007)
((0, 3), 0.01200000000000001)
((0, 14), 0.01200000000000001)
((0, 52), 0.01200000000000001)
((0, 5), 0.016000000000000014)
((0, 18), 0.016000000000000014)
((0, 23), 0.016000000000000014)
((0, 28), 0.016000000000000014)
((0, 41), 0.016000000000000014)
((0, 11), 0.020000000000000018)
((0, 15), 0.020000000000000018)
((0, 34), 0.020000000000000018)
((0, 40), 0.020000000000000018)
((2, 9), 0.020000000000000018)
((0, 13), 0.02400000000000002)
((0, 30), 0.02400000000000002)
((0, 42), 0.02400000000000002)
((0, 17), 0.028000000000000025)
((0, 57), 0.028000000000000025)
((0, 58), 0.028000000000000025)
((0, 20), 0.03200000000000003)
((0, 43), 0.03200000000000003)
((0, 47), 0.03200000000000003)
((0, 51), 0.03200000000000003)
((0, 53), 0.03200000000000003)
((1, 5), 0.03200000000000003)
((0, 22), 0.03600000000000003)
((0, 33), 0.03600000000000003)
((0, 36), 0.03600000000000003)
((0, 38), 0.03600000000000003)
((0, 39), 0.03600000000000003)
((0, 45), 0.03600000000000003)
((0, 46), 0.03600000000000003)
((0, 54), 0.03600000000000003)
((0, 2), 0.040000000000000036)
((0, 56), 0.040000000000000036)
((0, 44), 0.04400000000000004)
((0, 48), 0.04400000000000004)
((0, 50), 0.04400000000000004)
((1, 9), 0.04400000000000004)
((2, 5), 0.04400000000000004)
((0, 49), 0.04800000000000004)
((0, 24), 0.052000000000000046)
((0, 35), 0.052000000000000046)
((1, 48), 0.052000000000000046)
((1, 50), 0.052000000000000046)
((1, 38), 0.05600000000000005)
((1, 46), 0.05600000000000005)
((1, 34), 0.06000000000000005)
((1, 52), 0.06000000000000005)
((1, 3), 0.06399999999999995)
((1, 17), 0.06399999999999995)
((1, 44), 0.06399999999999995)
((4, 7), 0.06399999999999995)
((1, 8), 0.06799999999999995)
((1, 15), 0.06799999999999995)
((1, 33), 0.06799999999999995)
((1, 35), 0.06799999999999995)
((1, 45), 0.06799999999999995)
((2, 3), 0.06799999999999995)
((3, 5), 0.07199999999999995)
((3, 9), 0.07199999999999995)
((0, 27), 0.07599999999999996)
((1, 10), 0.07599999999999996)
((1, 14), 0.07599999999999996)
((1, 19), 0.07599999999999996)
((1, 51), 0.07599999999999996)
((1, 30), 0.07999999999999996)
((1, 31), 0.07999999999999996)
((1, 40), 0.07999999999999996)
((1, 53), 0.07999999999999996)
((2, 15), 0.07999999999999996)
((2, 20), 0.07999999999999996)
((2, 33), 0.07999999999999996)
((1, 18), 0.08399999999999996)
((1, 39), 0.08399999999999996)
((1, 42), 0.08399999999999996)
((1, 57), 0.08399999999999996)
((2, 13), 0.08399999999999996)
((2, 30), 0.08399999999999996)
((1, 22), 0.08799999999999997)
((1, 24), 0.08799999999999997)
((1, 27), 0.08799999999999997)
((1, 43), 0.08799999999999997)
((2, 11), 0.08799999999999997)
((2, 14), 0.08799999999999997)
((2, 16), 0.08799999999999997)
((1, 20), 0.09199999999999997)
((1, 23), 0.09199999999999997)
((1, 49), 0.09199999999999997)
((2, 56), 0.09199999999999997)
((4, 5), 0.09199999999999997)
((1, 11), 0.09599999999999997)
((1, 16), 0.09599999999999997)
((2, 38), 0.09599999999999997)
((1, 58), 0.09999999999999998)
((1, 56), 0.10399999999999998)
((5, 8), 0.10399999999999998)
((1, 41), 0.10799999999999998)
((2, 22), 0.10799999999999998)
((2, 35), 0.10799999999999998)
((3, 13), 0.10799999999999998)
((2, 41), 0.11199999999999999)
((1, 36), 0.11599999999999999)
((2, 36), 0.11599999999999999)
((1, 2), 0.12)
((2, 4), 0.12)
((3, 10), 0.12)
((5, 10), 0.12)
((0, 4), 0.124)
((2, 40), 0.124)
((2, 51), 0.124)
((2, 57), 0.124)
((4, 15), 0.124)
((2, 48), 0.128)
((2, 53), 0.128)
((3, 39), 0.128)
((4, 6), 0.128)
((1, 4), 0.132)
((2, 49), 0.132)
((3, 22), 0.132)
((4, 13), 0.132)
((5, 11), 0.132)
((1, 13), 0.136)
((1, 54), 0.136)
((3, 34), 0.136)
((5, 9), 0.136)
((5, 19), 0.136)
((8, 9), 0.14)
((17, 47), 0.14)
((2, 43), 0.14400000000000002)
((2, 58), 0.14800000000000002)
((3, 11), 0.14800000000000002)
((3, 19), 0.14800000000000002)
((4, 11), 0.14800000000000002)
((5, 12), 0.14800000000000002)
((4, 8), 0.15200000000000002)
((4, 10), 0.15200000000000002)
((2, 50), 0.15600000000000003)
((2, 54), 0.15600000000000003)
((8, 10), 0.15600000000000003)
((9, 14), 0.15600000000000003)
((2, 42), 0.16000000000000003)
((2, 52), 0.16000000000000003)
((3, 45), 0.16000000000000003)
((3, 8), 0.16400000000000003)
((4, 17), 0.16400000000000003)
((5, 14), 0.16400000000000003)
